"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"HDFC_Bank",0.3254456045243,-0.190651038731037,-0.188496073356484,-0.366910489516359,0.0478571245637509,-0.377790235827392,-0.144432772436063,-0.148720230228058,-0.0886689421984139,-0.190212865926426,0.674933229813391,0.00331410124981924
"ICICI_Bank",0.326475335386373,-0.230803323165133,-0.20138745868091,-0.255115097537208,0.0673535215435586,-0.46302718648658,-0.01849673377055,0.0549242529382639,0.0728386865551203,-0.121564531479767,-0.698374576969602,0.0663560513703893
"Reliance",0.324258796195861,-0.110801880372631,-0.055615834580649,0.0275706940192156,0.265787845276579,0.415333765251882,0.0795684536957618,-0.284019337716701,-0.721470303290271,-0.0907638922694248,-0.140430230219634,-0.010214776838826
"TCS",0.277448324063347,0.628823353996983,-0.0885898469114538,-0.0483016383175121,-0.016303203741422,0.0641549795188687,0.00750779607287531,0.0329914546234967,0.0520046047461823,-0.101483720611687,0.0135506409644233,0.706193248649818
"Infosys",0.276928894945491,0.621893325375862,-0.134819007675487,-0.0876749763559019,-0.0162400162730917,-0.0113622088245849,0.0503458727462331,0.0489943671564415,0.0395292283661744,-0.0902540000562458,-0.0436093452583772,-0.702679087805241
"ITC",0.254829166141859,-0.0926994707021662,0.510890939250165,0.00758863625781844,0.439556638249574,-0.0139107065733272,0.437119500904984,0.471764889190189,0.105825654174219,-0.181589772848755,0.119034714368986,-0.00441275045247078
"L&T",0.347357146367191,-0.097201605679168,-0.211071661503096,-0.0500136366083032,0.0823078924172435,0.154398483641658,-0.144632610908843,0.36433670774159,0.0302483088922942,0.794825388376346,0.0767919909124665,0.00309400493123677
"Bharti_Airtel",0.278981178536099,-0.0968716167821302,-0.0619489586295805,0.290355438368086,-0.482519642340254,-0.159348032282272,0.683118798004665,-0.248690543458709,0.0236350456950942,0.17966212675848,0.0687073633845811,0.0191927494184195
"Sun_Pharma",0.224316405427683,0.0284771791949213,0.062421806177245,0.796089753998129,0.0934179994375942,-0.350547657119438,-0.395531388076489,0.060951826517619,-0.112159570618388,-0.0690815548277607,0.0419221818905526,-0.0183176346805154
"Maruti",0.280742137967558,-0.181592394140116,0.197809201688108,-0.0737122752821833,-0.663481090135338,0.302600381783146,-0.266334125245139,0.377809049055668,-0.0692168201116486,-0.303739019062548,-0.0233881688266791,-0.0245563920531209
"HUL",0.20877255244549,0.0974329923971321,0.716590209829726,-0.194670190603933,-0.0636476081324623,-0.0988190938619509,-0.235532230459327,-0.469874532188335,0.0742477970833296,0.302828126845744,-0.0883830090964185,-0.0204918620372781
"Adani_Ports",0.304208310427228,-0.212672148079111,-0.169911484006008,0.159871122735681,0.190277579477817,0.438740476094566,-0.0915265707444845,-0.32607137084085,0.653061857402422,-0.191371537531753,0.00538833585704532,-0.0354805472359345
