,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8
Adani Ports,0.30430461642811224,-0.21394874408128123,-0.1625963507238504,0.15273299987796346,-0.3359168263124619,0.2605011996867328,-0.2492895694814622,-0.3517702032256929
Bharti Airtel,0.27918119232245864,-0.09959385427696388,-0.05424531609283001,0.28040597416021945,0.23410342741352844,0.28293372908343545,0.7790840894962499,-0.22948737617304726
HDFC Bank,0.3259796228327347,-0.19023437588459316,-0.18887307440412057,-0.3667394457475363,0.15458143089947363,-0.3675372651838449,0.009969010463503652,-0.1643612959174341
HUL,0.2092973407108907,0.09192219776686905,0.719216104728591,-0.18696470582915053,0.16236807404977655,-0.11067469158281579,-0.1570785309799507,-0.4774437344181464
ICICI Bank,0.32589357434921634,-0.22648878727502195,-0.20914327386101642,-0.25074040480998805,0.1522622532114955,-0.42921219986703024,0.13360999308336927,0.0572117739317348
Infosys,0.2772748018514023,0.6217665547483044,-0.1270255905237451,-0.09235242255400872,-0.004121856733539209,0.01666063687042732,0.0596391753976168,0.043536798074748466
ITC,0.25499243419298034,-0.09875595261776854,0.5129786698263159,0.005898499724747007,-0.49221225714857647,-0.13359569610248426,0.3078823651245726,0.4976866057201664
L&T,0.3476832881743059,-0.09528831320747684,-0.21393517293759923,-0.04861201955518653,-0.07987911032263673,0.05063881863037714,-0.21240054960558863,0.3559503284728613
Maruti Suzuki,0.28062335525026677,-0.18000418188219688,0.19123337293423673,-0.06279461025900193,0.5468690987105986,0.5076487834418758,-0.25880304763482753,0.3618921379882519
Reliance,0.324710550066503,-0.11099788517435796,-0.05465407116520286,0.026636580869490847,-0.41740784209369886,0.22527296129897334,-0.14261833947854197,-0.23537639105958724
Sun Pharma,0.22279175375615548,0.03408827362390095,0.04585952026010097,0.8047940610706237,0.19183010503876696,-0.4329930179329006,-0.23918224686332532,0.03966299903533274
TCS,0.27671853687415626,0.6301275460592382,-0.08498752434559605,-0.04947429188875382,-0.012181627542679166,0.062483309346295764,-0.01638550641642031,0.03352254397155684
